"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2018,113004381,9,
2018,117642046,1,
2018,117646714,1,
2018,111930984,1,
2018,111930985,1,
2018,117635812,1,
2018,117930100,1,
2018,127991453,9,
2018,127980957,1,
2018,111931028,1,
2018,113013786,1,
2018,111931001,1,
2018,131254918,1,
2018,124312327,1,
2018,127994915,1,
2018,127987327,10,
2018,111930715,10,
2018,117641784,6,
2018,127980828,1,
2018,111941131,10,
2018,117642048,1,
2018,111941279,9,
2018,117930101,1,
2018,127972889,1,
2018,117646675,1,
2018,113012264,1,
2018,111930948,2,
2018,117641555,1,
2018,113005100,9,
2018,127980808,6,
2018,117641574,10,
2018,124315539,1,
2018,131245748,1,
2018,127991451,9,
2018,127995078,1,
2018,127995077,1,
2018,111382482,10,
2018,111929810,9,
2018,113003699,1,
2018,111381185,10,
2018,111376204,10,
2018,113005361,6,
2018,113013962,1,
2018,117642020,2,
2018,117646878,2,
2018,111381511,1,
2018,111930053,9,
2018,113012390,9,
2018,113013422,10,
2018,113005559,10,
2018,117932846,1,
2018,113003901,6,
2018,111934723,1,
2018,113008395,1,
2018,111382085,1,
2018,111387062,1,
2018,113006996,6,
2018,113008132,9,
2018,109890935,1,
2018,111381428,10,
2018,109927148,8,
2018,109926894,1,
2018,109925876,10,
2018,129948232,10,
2018,109929847,1,
2018,111387051,6,
2018,111381574,1,
2018,111386538,10,
2018,111376519,9,
2018,111381526,10,
2018,111376812,1,
2018,111381823,1,
2018,109922694,6,
2018,111377847,9,
2018,127972774,10,
2018,111381023,10,
2018,113003452,1,
2018,113008556,1,
2018,117651205,9,
2018,123160904,1,
2018,109927601,10,
2018,109886796,1,
2018,111377412,6,
2018,113007037,10,
2018,123171934,8,
2018,132452755,10,
2018,111387216,10,
2018,111934023,6,
2018,111387542,1,
2018,111382636,10,
2018,109930227,1,
2018,109930227,9,
2018,113004004,10,
2018,113004006,10,
2018,113012769,6,
2018,123167629,8,
2018,109927320,1,
2018,123167755,6,
2018,117641552,1,
2018,111930701,1,
2018,111936675,1,
2018,111936567,6,
2018,113004869,1,
2018,109914972,1,
2018,111382290,10,
2018,109904819,1,
2018,111382513,9,
2018,111387600,9,
2018,109927318,1,
2018,111376493,8,
2018,113011813,9,
2018,113012526,10,
2018,111930745,1,
2018,113012568,2,
2018,111381506,1,
2018,109930159,9,
2018,113007319,6,
2018,109881770,1,
2018,109900442,1,
2018,113007225,10,
2018,109923814,1,
2018,111386226,1,
2018,111376764,10,
2018,129949553,1,
2018,131249489,9,
2018,109924464,1,
2018,109927321,1,
2018,109929682,9,
2018,111376556,1,
2018,111385876,1,
2018,111382359,1,
2018,111382005,1,
2018,111376675,1,
2018,113006703,1,
2018,123162367,10,
2018,109907609,6,
2018,131255001,10,
2018,109924463,1,
2018,117646642,9,
2018,111387252,10,
2018,113014673,10,
2018,120161077,2,
2018,123167624,8,
2018,115125903,2,
2018,129949554,1,
2018,131249255,10,
2018,109926197,6,
2018,111377173,9,
2018,117646876,2,
2018,113005901,10,
2018,113008674,1,
2018,111934657,10,
2018,111386097,9,
2018,111382396,1,
2018,109906519,1,
2018,109926751,9,
2018,111382589,1,
2018,113005224,1,
2018,111387251,10,
2018,111377332,6,
2018,109904121,1,
2018,109924145,1,
2018,113003916,2,
2018,113003958,2,
2018,109881967,1,
2018,111382715,10,
2018,111386041,2,
2018,120161074,9,
2018,113004839,9,
2018,111386402,6,
2018,109901217,10,
2018,109929917,10,
2018,111382574,1,
2018,111381344,10,
2018,111387740,10,
2018,123167317,10,
2018,113011853,9,
2018,113012524,10,
2018,113008256,10,
2018,111382645,6,
2018,109926168,6,
2018,113012825,9,
2018,117646874,2,
2018,123167625,6,
2018,109925152,1,
2018,111376836,1,
2018,111380897,1,
2018,111383242,1,
2018,113006700,1,
2018,131245582,1,
2018,131255243,10,
2018,131248972,1,
2018,109927316,1,
2018,113012879,8,
2018,113013944,1,
2018,113012291,1,
2018,113005407,10,
2018,111386522,6,
2018,111930747,1,
2018,113013932,1,
2018,111386354,6,
2018,113005871,9,
2018,109914991,9,
2018,111376647,10,
2018,109914977,1,
2018,111926016,9,
2018,120178198,2,
2018,111376847,9,
2018,111376847,1,
2018,111381909,1,
2018,111377031,1,
2018,131245734,1,
2018,131249490,9,
2018,109926735,10,
2018,109931736,6,
2018,113006706,1,
2018,111381392,10,
2018,117647006,3,
2018,113007139,1,
2018,113013890,10,
2018,113003918,2,
2018,113005118,1,
2018,113005698,1,
2018,123171930,8,
2018,127991456,1,
2018,109903572,6,
2018,109903572,1,
2018,111381972,6,
2018,109934298,6,
2018,113006843,1,
2018,113007263,10,
2018,113011964,9,
2018,111381472,1,
2018,109930158,9,
2018,113008108,10,
2018,113008895,1,
2018,117651152,9,
2018,129949555,1,
2018,131245745,1,
2018,131245991,1,
2018,131249254,10,
2018,127998783,6,
2018,127998783,1,
2018,109903438,10,
2018,109928763,1,
2018,109900349,6,
2018,113003511,6,
2018,109903970,1,
2018,109928833,10,
2018,109925839,6,
2018,109903072,10,
2018,111386576,9,
2018,109928716,9,
2018,109930885,1,
2018,109935714,1,
2018,123162474,9,
2018,109931485,9,
2018,109934514,6,
2018,109902536,1,
2018,109903387,9,
2018,111376963,9,
2018,109894178,1,
2018,109936691,1,
2018,109895713,1,
2018,109894282,6,
2018,109895488,1,
2018,109900779,2,
2018,109929441,1,
2018,109929441,9,
2018,109933552,10,
2018,109904342,1,
2018,109929527,1,
2018,109926058,1,
2018,109900501,1,
2018,111381361,8,
2018,131249451,9,
2018,109937449,9,
2018,109904855,6,
2018,109935692,10,
2018,113013715,6,
2018,109928636,1,
2018,109932593,1,
2018,109934684,10,
2018,109934950,6,
2018,109900533,6,
2018,109932578,6,
2018,109902309,1,
2018,120296407,9,
2018,109935147,2,
2018,109903483,9,
2018,109934685,6,
2018,113008214,10,
2018,109895642,1,
2018,109904157,10,
2018,111376601,1,
2018,109927554,1,
2018,109898456,1,
2018,109934302,9,
2018,109901962,10,
2018,109930612,9,
2018,109935862,1,
2018,109934307,9,
2018,109905000,10,
2018,109907833,6,
2018,109931451,1,
2018,109934424,6,
2018,111386256,10,
2018,109927553,1,
2018,109907956,1,
2018,109927074,1,
2018,109927612,6,
2018,109927619,9,
2018,109905233,10,
2018,111381389,1,
2018,109906511,1,
2018,129954743,9,
2018,109934641,10,
2018,109932482,9,
2018,109900970,1,
2018,109931619,1,
2018,109937369,10,
2018,109928270,1,
2018,109904998,10,
2018,113003833,1,
2018,109935893,1,
2018,109935893,9,
2018,109904884,2,
2018,111387173,1,
2018,111387040,1,
2018,111925790,1,
2018,109930321,9,
2018,109930321,6,
2018,109896374,9,
2018,109934920,10,
2018,109896126,1,
2018,109930846,10,
2018,109901804,10,
2018,109927799,1,
2018,109903130,6,
2018,109929415,6,
2018,109891703,2,
2018,109933056,9,
2018,120178657,2,
2018,111382578,1,
2018,109928672,6,
2018,109907092,1,
2018,109932464,9,
2018,109930292,1,
2018,109936637,1,
2018,109937372,10,
2018,111931051,10,
2018,109895297,10,
2018,109923816,10,
2018,109933091,10,
2018,109932114,10,
2018,109891452,1,
2018,111381531,6,
2018,109928259,6,
2018,109928259,1,
2018,109936853,1,
2018,109929493,6,
2018,111930663,2,
2018,109928403,6,
2018,109899540,1,
2018,113005732,9,
2018,113008607,1,
2018,109903478,10,
2018,109928757,9,
2018,129950656,2,
2018,111386345,6,
2018,109898361,10,
2018,109933122,1,
2018,109932982,1,
2018,113012356,1,
2018,109896125,1,
2018,109927746,6,
