"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,5,105163732,1,3,9375548
2018,12,105162322,1,11,9375578
2018,12,105163844,1,11,9375584
2018,5,105163863,1,3,9375589
2018,5,105163398,1,1,9368193
2018,12,105163398,0.9,1,9368194
2018,13,105164639,0.004,3,9375742
2018,5,105169054,0.01,3,9375870
2018,8,105165072,5.5,9,9375804
2018,5,105165235,0.5,3,9375839
2018,12,105168913,1,1,9368274
2018,12,105169054,0.01,3,9368297
2018,12,105141466,1,1,9363669
2018,5,105143864,1.1,3,9365716
2018,5,105141847,11,1,9363703
2018,5,105141863,1.2,1,9363706
2018,5,105144139,495,1,9365770
2018,8,105144139,112.5,1,9365771
2018,1,105160726,1,11,9367595
2018,5,105156996,1,1,9375106
2018,5,105157080,7.4,1,9375114
2018,12,105160434,1,1,9367548
2018,5,105160434,0.9,1,9367547
2018,5,105160450,7,1,9367551
2018,5,105157169,1,1,9367568
2018,12,105157455,1,1,9375196
2018,5,105160904,1,3,9375229
2018,5,105157583,1,3,9375234
2018,5,105158151,1.44,1,9375410
2018,5,105161585,7,3,9367832
2018,12,105158195,1,1,9375427
2018,12,105161626,0.25,1,9367847
2018,8,105158212,1,1,9375433
2018,5,105162009,0.2,1,9367927
2018,5,105158535,101,4,9367941
2018,3,105158535,75,3,9375510
2018,5,105162073,1,9,9367946
2018,12,107617538,3,1,9860774
2018,5,107617553,0.001,3,9863631
2018,12,107620530,0.5,3,9860793
2018,5,107620552,1,1,9860800
2018,12,107620596,5,1,9863666
2018,5,107617711,2.2,1,9860819
2018,5,107612879,2,1,9860852
2018,5,107620872,1,1,9863759
2018,5,107620975,1,11,9860879
2018,12,107620975,1,11,9863774
2018,5,107618004,1,1,9860880
2018,16,107621290,1,9,9863815
2018,5,107618277,1,3,9860931
2018,5,107613177,1,3,9855364
2018,12,107608979,7,1,9863287
2018,3,107609008,1,1,9863289
2018,5,107619337,6,1,9863350
2018,5,107616863,1,1,9860592
2018,12,107619747,1,11,9863409
2018,12,107616909,1,11,9860602
2018,5,107619779,1,11,9863415
2018,12,107611874,1,1,9855016
2018,5,107611874,1,1,9860612
2018,5,107612346,1,1,9863566
2018,12,107620316,1.2,1,9863574
2018,12,107620320,8000,1,9863580
2018,3,107612427,3.6,3,9855167
2018,5,107612427,7.21,3,9863585
2018,17,107612449,,,9855173
2018,17,107620398,,,9863597
2018,5,107617535,2.5,3,9863621
2018,5,107617539,5.49,1,9860775
2018,5,107612587,0.005,3,9855211
2018,5,107617686,1,3,9860811
2018,15,107617686,5,9,9860813
2018,17,107620668,,,9863691
2018,12,107612769,1,1,9855262
2018,12,107620690,1,1,9860832
2018,5,113134439,0.1,3,10796380
2018,5,106759153,0.5,3,9727225
2018,12,106769217,14.6,1,9727256
2018,14,106769217,2,9,9725206
2018,5,106769217,11.2,1,9727255
2018,5,106762594,0.9,3,9727316
2018,5,105127528,0.102,3,9362431
