"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,29655040,100199505,1,25-FEB-18,2,"N",5,5,15,"F",1,2,"R","H","",15,0
2018,29655039,100199505,2,25-FEB-18,2,"N",5,5,15,"F",1,2,"R","H","",15,0
2018,29655048,100204079,1,09-FEB-18,2,"N",23,5,41,"M",1,3,"R","","",41,0
2018,29656071,100204081,1,28-FEB-18,3,"N",16,5,32,"M",1,2,"N","","",32,0
2018,29655080,100204203,1,13-JAN-18,1,"N",2,5,49,"F",1,2,"N","","",49,0
2018,29656111,100204268,1,23-FEB-18,1,"N",53,5,26,"M",3,3,"N","","",26,0
2018,29681605,100233653,1,04-JUL-18,3,"N",16,5,29,"F",1,2,"R","","",29,0
2018,29682618,100235760,1,24-MAY-18,2,"N",16,5,17,"M",1,2,"R","H","",17,0
2018,29685953,100231802,5,23-MAR-18,2,"N",5,5,20,"M",1,2,"R","","",20,0
2018,29685952,100231802,4,22-MAR-18,2,"N",5,5,21,"F",1,2,"N","","",21,0
2018,29681642,100231802,8,22-MAR-18,2,"N",5,5,25,"F",1,2,"N","","",25,0
2018,29685954,100231802,7,22-MAR-18,2,"N",5,5,16,"M",1,1,"N","R","",16,0
2018,29681640,100231802,6,27-MAR-18,2,"N",5,5,16,"M",1,2,"R","R","",16,0
2018,29685950,100231802,3,22-MAR-18,2,"N",5,5,20,"M",1,2,"R","","",20,0
2018,29681639,100231802,1,22-MAR-18,2,"N",5,5,21,"M",1,2,"R","","",21,0
2018,29685949,100231802,2,22-MAR-18,2,"N",5,5,22,"M",1,2,"R","","",22,0
2018,29685981,100233804,1,07-JAN-18,2,"N",45,5,37,"M",1,1,"R","","",37,0
2018,29685986,100231875,1,10-JAN-18,2,"N",16,5,21,"M",1,2,"R","","",21,0
2018,29686832,100238861,1,01-JUL-18,2,"N",5,5,39,"M",1,3,"R","","",39,0
2018,29682705,100235963,1,28-JUL-18,3,"N",16,5,21,"M",1,1,"R","","",21,0
2018,29686951,100236051,1,08-JUN-18,1,"N",23,5,38,"M",1,2,"N","","",38,0
2018,29682757,100239107,1,12-JUL-18,2,"N",39,5,17,"M",1,2,"R","R","",17,0
2018,29663393,100208530,1,17-FEB-18,3,"N",39,5,19,"M",1,2,"N","","",19,0
2018,29663399,100213604,1,18-JAN-18,2,"N",51,5,15,"M",1,2,"R","R","",15,0
2018,29663354,100208478,2,01-APR-18,1,"N",35,5,43,"M",1,2,"N","","",43,0
2018,29663375,100213582,1,08-MAR-18,2,"N",5,5,32,"M",1,2,"R","","",32,0
2018,29663539,100208683,1,21-FEB-18,2,"N",51,5,28,"M",1,2,"R","","",28,0
2018,29663458,100208589,1,15-JAN-18,2,"N",16,5,34,"F",1,2,"N","","",34,0
2018,29663503,100208647,1,10-JAN-18,2,"N",16,5,35,"M",1,2,"R","","",35,0
2018,29659318,100213763,1,01-JAN-18,2,"N",21,5,20,"F",1,2,"R","","",20,0
2018,29663567,100208729,1,23-MAR-18,3,"N",35,5,29,"M",1,1,"R","","",29,0
2018,29659377,100208749,1,15-APR-18,2,"N",51,5,58,"M",1,1,"R","","",58,0
2018,29659416,100213960,1,21-MAR-18,2,"N",51,5,14,"M",1,1,"R","H","",14,0
2018,29659419,100213971,1,07-APR-18,3,"N",35,5,25,"M",1,2,"R","","",25,0
2018,29659421,100208833,1,08-MAR-18,3,"N",16,5,19,"M",1,2,"N","","",19,0
2018,29682758,100236090,1,12-JUL-18,1,"N",51,5,19,"M",1,1,"R","","",19,0
2018,29686975,100236090,2,12-JUL-18,3,"N",48,5,17,"M",1,2,"R","R","",17,0
2018,30162413,101506962,1,11-AUG-18,1,"N",48,5,18,"M",1,2,"R","","",18,0
