"DATA_YEAR","VICTIM_ID","INJURY_ID"
2018,111929760,4
2018,111929760,8
2018,111925835,4
2018,111929826,4
2018,111934101,4
2018,111936498,4
2018,111936533,4
2018,111931055,4
2018,111936924,5
2018,117641549,5
2018,117635975,4
2018,117641758,4
2018,117635982,5
2018,117641947,4
2018,117646828,4
2018,117636109,5
2018,117641949,5
2018,117646835,4
2018,117642026,4
2018,117642032,4
2018,117642040,4
2018,117651189,4
2018,117642074,4
2018,117646961,5
2018,117642122,5
2018,117651260,5
2018,117651343,5
2018,117642308,5
2018,117651348,5
2018,117647136,5
2018,117642314,5
2018,117647137,5
2018,117642316,5
2018,117651365,5
2018,117647212,5
2018,117642376,4
2018,117651384,5
2018,111380841,4
2018,111380956,5
2018,111381071,4
2018,111386035,4
2018,111376195,4
2018,111376197,4
2018,111376277,4
2018,111381282,4
2018,111376438,5
2018,111376540,5
2018,111376895,4
2018,111381728,4
2018,111381800,5
2018,111386751,5
2018,111386752,4
2018,111377084,5
2018,111377082,5
2018,111377117,4
2018,111386806,4
2018,111377286,4
2018,111377350,5
2018,111382046,5
2018,111382044,1
2018,111377390,4
2018,111382060,4
2018,111382061,4
2018,111933650,4
2018,111933654,4
2018,111933666,4
2018,111933694,4
2018,111925554,4
2018,111933861,5
2018,111925788,4
2018,111929775,5
2018,111929774,5
2018,111934016,4
2018,111934039,4
2018,111934061,1
2018,111925885,4
2018,111929917,5
2018,111929914,5
2018,111929977,5
2018,111930020,4
2018,111934607,4
2018,111934612,8
2018,111934612,1
2018,111934623,5
2018,111936665,4
2018,111929279,4
2018,111929279,2
2018,111933831,5
2018,111929541,4
2018,111929554,4
2018,111933921,5
2018,111933996,4
2018,111934013,4
2018,111925843,5
2018,111934104,5
2018,111934108,5
2018,111936624,5
2018,111934671,5
2018,111934711,4
2018,111931024,5
2018,111941167,4
2018,111936862,4
2018,111934925,5
2018,111936900,5
2018,111934969,4
2018,111941361,5
2018,111941379,4
2018,111935001,5
2018,111941397,4
2018,111936976,5
2018,111935035,4
2018,111925477,4
2018,111933704,4
2018,111929364,4
2018,111929493,5
2018,111929491,5
2018,111925739,4
2018,111934032,4
2018,111929811,5
2018,111934672,5
2018,111934700,4
2018,111934796,4
2018,111930986,4
2018,111931107,5
2018,111941162,8
2018,111941162,4
2018,111934947,5
2018,111936909,5
2018,111941272,5
2018,111935034,4
2018,115125012,4
2018,115120780,5
2018,115125324,5
2018,115120787,4
2018,115126067,4
2018,115127065,3
2018,115132744,4
2018,115132745,5
2018,115127350,5
2018,115127392,4
2018,115133050,5
2018,111375885,5
2018,111381030,4
2018,111385975,4
2018,111380864,4
2018,111381101,5
2018,111376095,5
2018,111381190,4
2018,111386144,4
2018,111386165,4
2018,111381283,4
2018,111376370,5
2018,111386268,4
2018,111386353,4
2018,111381468,4
2018,111386393,4
2018,111376647,5
2018,111381526,5
2018,111386483,5
2018,111376758,5
2018,111381625,4
2018,111376812,4
2018,111386603,4
2018,111376927,5
2018,111376925,5
2018,111381715,5
2018,111377110,4
2018,111381878,5
2018,111377236,4
2018,111377282,4
2018,111377332,4
2018,111382067,5
2018,111377396,5
2018,111377571,4
2018,111377585,4
2018,111382213,5
2018,111382253,5
2018,111377691,4
2018,111377706,5
2018,111382376,4
2018,111382396,6
2018,111377834,5
2018,111387567,4
2018,111377996,4
2018,111387851,4
2018,111387847,5
2018,111382712,5
2018,111382709,4
2018,111925512,4
2018,111925541,4
2018,111929399,4
2018,111929720,4
2018,111929753,5
2018,111925812,5
2018,111925831,5
2018,111925928,4
2018,111929971,5
2018,111930021,5
2018,111930608,4
2018,111930715,5
2018,111930735,4
2018,111936604,4
2018,111930733,4
2018,111930970,4
2018,111934890,5
2018,111934948,5
2018,111941347,5
2018,111941383,5
2018,111936970,4
2018,111941444,4
2018,111937004,5
2018,111937001,5
2018,111935031,5
2018,111381130,5
2018,111376127,5
2018,111376171,4
2018,111381159,4
2018,111381184,5
2018,111386226,4
2018,111386273,5
2018,111381404,5
2018,111376549,4
2018,111386368,5
2018,111381508,4
2018,111381547,5
2018,111381568,4
2018,111381580,4
2018,111376764,5
2018,111381722,4
2018,111386653,4
2018,111377031,4
2018,111381849,5
2018,111377149,4
