"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,106339552,11,1,,114036990
2018,106339591,63,100,,114037031
2018,106344581,10,,,114042029
2018,106344581,11,15,,114047039
2018,106344584,63,131,,114037048
2018,106344594,63,500,,114042044
2018,106344595,11,5,,114037070
2018,106349592,8,235,,114047069
2018,106344625,42,330,,114042089
2018,106339630,10,,,114037090
2018,106339630,11,2,,114037091
2018,106344642,4,89,,114037098
2018,106344642,43,20,,114042106
2018,106339634,4,89,13-AUG-18,114047077
2018,106349610,62,52,,114047087
2018,106339659,20,100,,114037128
2018,106344677,50,8,,114042140
2018,106339672,63,10,,114037151
2018,106349646,38,10,,114042183
2018,106339713,8,54,,114037210
2018,106344723,36,490,,114047137
2018,106344730,26,600,,114047145
2018,106344741,38,15,,114047147
2018,106344775,26,200,,114042262
2018,106344775,7,200,,114047183
2018,106339760,23,6,,114037281
2018,106349724,25,5,,114047218
2018,106349724,16,32,,114047216
2018,106349724,63,100,,114042320
2018,106349724,22,0,,114037314
2018,106344806,22,0,28-AUG-18,114042309
2018,106349724,9,0,,114037312
2018,106349724,66,200,,114047221
2018,106349724,62,300,,114047219
2018,106344806,63,100,31-AUG-18,114047215
2018,106344806,9,0,28-AUG-18,114037306
2018,106344806,62,300,28-AUG-18,114037311
2018,106349724,17,150,,114042317
2018,106349724,20,35,,114037313
2018,106344806,25,5,28-AUG-18,114037308
2018,106339799,3,200,,114037329
2018,106339813,7,400,,114037342
2018,106344847,63,1,,114047258
2018,106344856,8,585,,114037367
2018,106344860,3,1265,,114042394
2018,106339840,10,,,114047272
2018,106349773,36,30,16-SEP-18,114042402
2018,106344882,16,10,,114042423
2018,106349796,56,1200,,114037403
2018,106339869,56,1200,02-MAY-18,114042427
2018,106344921,20,160,,114042471
2018,106349834,38,50,08-AUG-18,114042488
2018,106349835,38,50,,114037464
2018,106339920,8,1,,114037477
2018,106349861,38,500,,114037510
2018,106345007,11,5,,114042576
2018,106345007,10,,,114047431
2018,106349886,2,14,,114042583
2018,106345016,38,300,,114042588
2018,106339976,10,,,114042590
2018,106345035,61,35,,114047468
2018,106345035,20,150,,114047467
2018,106349899,61,35,28-AUG-18,114037563
2018,106349901,10,,,114047470
2018,106349901,11,5,,114047471
2018,106340004,10,,,114037587
2018,106345074,33,100,,114037599
2018,106345094,10,,,114047513
2018,106345094,11,55,,114047514
2018,106340043,11,10,,114047520
2018,106340043,10,,,114037640
2018,106340058,17,1000,,114037671
2018,106349974,4,35,,114037674
2018,106349983,8,3,,114037686
2018,106340099,10,,,114037724
2018,106350029,16,68,,114047614
2018,106345239,36,50,,114047639
2018,106345251,11,5,,114037778
2018,106345251,10,,,114042857
2018,106345251,63,2,,114037779
2018,106340152,21,1,17-AUG-18,114037795
2018,106340153,21,230,,114037797
2018,106345267,3,3000,,114042871
2018,106345294,63,63,17-SEP-18,114047678
2018,106340174,63,63,,114037823
2018,106340190,42,200,,114037857
2018,106350139,34,300,,114047718
2018,106350157,21,40,,114042978
2018,106340225,20,20,,114037900
2018,106345385,52,0,,114043033
2018,106350186,21,1,,114037914
2018,106350199,11,1,,114037940
2018,106350199,10,,,114037939
2018,106345420,10,,,114043082
2018,106340273,36,487,,114037965
2018,106345449,38,100,,114043113
2018,106340277,51,0,,114043115
